Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021
Благоевград,Банско,Female,96.0,111.0,89.0,75.0,93.0,109.0,108.0
Благоевград,Банско,Male,104.0,93.0,91.0,89.0,84.0,127.0,109.0
Благоевград,Банско,Total,200.0,204.0,180.0,164.0,177.0,236.0,217.0
Благоевград,Белица,Female,68.0,48.0,57.0,44.0,52.0,67.0,75.0
Благоевград,Белица,Male,63.0,47.0,71.0,63.0,54.0,75.0,81.0
Благоевград,Белица,Total,131.0,95.0,128.0,107.0,106.0,142.0,156.0
Благоевград,Благоевград,Female,334.0,358.0,416.0,373.0,382.0,502.0,561.0
Благоевград,Благоевград,Male,472.0,461.0,477.0,484.0,473.0,593.0,640.0
Благоевград,Благоевград,Total,806.0,819.0,893.0,857.0,855.0,1095.0,1201.0
Благоевград,Гоце Делчев,Female,168.0,163.0,177.0,158.0,187.0,189.0,235.0
Благоевград,Гоце Делчев,Male,182.0,187.0,191.0,195.0,193.0,228.0,280.0
Благоевград,Гоце Делчев,Total,350.0,350.0,368.0,353.0,380.0,417.0,515.0
Благоевград,Гърмен,Female,63.0,76.0,72.0,69.0,83.0,72.0,104.0
Благоевград,Гърмен,Male,77.0,91.0,63.0,82.0,85.0,91.0,91.0
Благоевград,Гърмен,Total,140.0,167.0,135.0,151.0,168.0,163.0,195.0
Благоевград,Кресна,Female,56.0,42.0,47.0,39.0,35.0,50.0,75.0
Благоевград,Кресна,Male,48.0,57.0,51.0,40.0,58.0,59.0,83.0
Благоевград,Кресна,Total,104.0,99.0,98.0,79.0,93.0,109.0,158.0
Благоевград,Петрич,Female,338.0,314.0,305.0,299.0,312.0,393.0,461.0
Благоевград,Петрич,Male,407.0,365.0,391.0,406.0,401.0,456.0,635.0
Благоевград,Петрич,Total,745.0,679.0,696.0,705.0,713.0,849.0,1096.0
Благоевград,Разлог,Female,135.0,124.0,138.0,162.0,133.0,167.0,176.0
Благоевград,Разлог,Male,155.0,154.0,134.0,160.0,144.0,183.0,192.0
Благоевград,Разлог,Total,290.0,278.0,272.0,322.0,277.0,350.0,368.0
Благоевград,Сандански,Female,240.0,238.0,242.0,257.0,253.0,301.0,352.0
Благоевград,Сандански,Male,294.0,295.0,305.0,304.0,277.0,355.0,457.0
Благоевград,Сандански,Total,534.0,533.0,547.0,561.0,530.0,656.0,809.0
Благоевград,Сатовча,Female,69.0,74.0,68.0,78.0,63.0,87.0,109.0
Благоевград,Сатовча,Male,72.0,68.0,95.0,88.0,87.0,102.0,110.0
Благоевград,Сатовча,Total,141.0,142.0,163.0,166.0,150.0,189.0,219.0
