Location,Age,Sex,2017,2018,2019,avg_population
Blagoevgrad,(0-4),Female,6980.0,6911.0,6915.0,6935.33
Blagoevgrad,(0-4),Male,7220.0,7198.0,7113.0,7177.0
Blagoevgrad,(0-4),Total,14200.0,14109.0,14028.0,14112.33
Blagoevgrad,(10-14),Female,7344.0,7551.0,7642.0,7512.33
Blagoevgrad,(10-14),Male,7710.0,7949.0,8091.0,7916.67
Blagoevgrad,(10-14),Total,15054.0,15500.0,15733.0,15429.0
Blagoevgrad,(15-19),Female,6666.0,6663.0,6679.0,6669.33
Blagoevgrad,(15-19),Male,7166.0,7140.0,7090.0,7132.0
Blagoevgrad,(15-19),Total,13832.0,13803.0,13769.0,13801.33
Blagoevgrad,(20-24),Female,6303.0,5832.0,5507.0,5880.67
Blagoevgrad,(20-24),Male,6729.0,6193.0,5866.0,6262.67
Blagoevgrad,(20-24),Total,13032.0,12025.0,11373.0,12143.33
Blagoevgrad,(25-29),Female,10949.0,9974.0,8964.0,9962.33
Blagoevgrad,(25-29),Male,10569.0,9739.0,8914.0,9740.67
Blagoevgrad,(25-29),Total,21518.0,19713.0,17878.0,19703.0
Blagoevgrad,(30-34),Female,10667.0,10829.0,11001.0,10832.33
Blagoevgrad,(30-34),Male,11267.0,11282.0,11074.0,11207.67
Blagoevgrad,(30-34),Total,21934.0,22111.0,22075.0,22040.0
Blagoevgrad,(35-39),Female,10452.0,10346.0,10209.0,10335.67
Blagoevgrad,(35-39),Male,11288.0,11179.0,11161.0,11209.33
Blagoevgrad,(35-39),Total,21740.0,21525.0,21370.0,21545.0
Blagoevgrad,(40-44),Female,11086.0,10963.0,10892.0,10980.33
Blagoevgrad,(40-44),Male,11675.0,11592.0,11352.0,11539.67
Blagoevgrad,(40-44),Total,22761.0,22555.0,22244.0,22520.0
Blagoevgrad,(45-49),Female,11414.0,11076.0,10822.0,11104.0
Blagoevgrad,(45-49),Male,11501.0,11438.0,11397.0,11445.33
Blagoevgrad,(45-49),Total,22915.0,22514.0,22219.0,22549.33
Blagoevgrad,(5-9),Female,7600.0,7349.0,7204.0,7384.33
Blagoevgrad,(5-9),Male,7959.0,7734.0,7592.0,7761.67
Blagoevgrad,(5-9),Total,15559.0,15083.0,14796.0,15146.0
Blagoevgrad,(50-54),Female,11434.0,11465.0,11509.0,11469.33
Blagoevgrad,(50-54),Male,11209.0,11067.0,11169.0,11148.33
Blagoevgrad,(50-54),Total,22643.0,22532.0,22678.0,22617.67
Blagoevgrad,(55-59),Female,11836.0,11874.0,11793.0,11834.33
Blagoevgrad,(55-59),Male,11246.0,11208.0,11156.0,11203.33
Blagoevgrad,(55-59),Total,23082.0,23082.0,22949.0,23037.67
Blagoevgrad,(60-64),Female,11293.0,11368.0,11431.0,11364.0
Blagoevgrad,(60-64),Male,10341.0,10276.0,10312.0,10309.67
Blagoevgrad,(60-64),Total,21634.0,21644.0,21743.0,21673.67
Blagoevgrad,(65-69),Female,10380.0,10456.0,10482.0,10439.33
Blagoevgrad,(65-69),Male,8677.0,8886.0,8924.0,8829.0
Blagoevgrad,(65-69),Total,19057.0,19342.0,19406.0,19268.33
Blagoevgrad,(70-74),Female,8492.0,8792.0,8964.0,8749.33
Blagoevgrad,(70-74),Male,6322.0,6521.0,6781.0,6541.33
Blagoevgrad,(70-74),Total,14814.0,15313.0,15745.0,15290.67
Blagoevgrad,(75-79),Female,6839.0,6814.0,7020.0,6891.0
Blagoevgrad,(75-79),Male,4454.0,4383.0,4412.0,4416.33
Blagoevgrad,(75-79),Total,11293.0,11197.0,11432.0,11307.33
Blagoevgrad,(80-84),Female,5085.0,5012.0,4903.0,5000.0
Blagoevgrad,(80-84),Male,2984.0,2958.0,2938.0,2960.0
Blagoevgrad,(80-84),Total,8069.0,7970.0,7841.0,7960.0
Blagoevgrad,(85-89),Female,2292.0,2495.0,2752.0,2513.0
Blagoevgrad,(85-89),Male,1331.0,1424.0,1498.0,1417.67
Blagoevgrad,(85-89),Total,3623.0,3919.0,4250.0,3930.67
Blagoevgrad,(90+),Female,763.0,811.0,774.0,782.67
Blagoevgrad,(90+),Male,359.0,375.0,391.0,375.0
Blagoevgrad,(90+),Total,1122.0,1186.0,1165.0,1157.67
Burgas,(0-4),Female,10016.0,9829.0,9675.0,9840.0
Burgas,(0-4),Male,10300.0,10283.0,10089.0,10224.0
Burgas,(0-4),Total,20316.0,20112.0,19764.0,20064.0
Burgas,(10-14),Female,10311.0,10658.0,11141.0,10703.33
Burgas,(10-14),Male,10994.0,11362.0,11710.0,11355.33
Burgas,(10-14),Total,21305.0,22020.0,22851.0,22058.67
Burgas,(15-19),Female,9269.0,9478.0,9576.0,9441.0
Burgas,(15-19),Male,9612.0,9730.0,9898.0,9746.67
Burgas,(15-19),Total,18881.0,19208.0,19474.0,19187.67
Burgas,(20-24),Female,8766.0,8211.0,8125.0,8367.33
Burgas,(20-24),Male,9017.0,8658.0,8464.0,8713.0
Burgas,(20-24),Total,17783.0,16869.0,16589.0,17080.33
