Location,Sex,ASYR,ASYR_FLUC
Silistra,Total,9695.662,5219.797
Montana,Total,8936.458,3948.902
Razgrad,Total,8796.137999999999,4128.116
Pernik,Total,8243.153,4017.11
Ruse,Total,8054.381,3449.244
Sofia,Total,8038.599,3366.634
Vratsa,Total,8028.55,3924.494
Pazardzhik,Total,7814.35,2791.837
Shumen,Total,7791.1810000000005,3818.604
Varna,Total,7690.716,2655.943
Sofia (stolitsa),Total,7680.165,1726.71
Targovishte,Total,7664.656,3210.908
Plovdiv,Total,7596.906,2514.431
Blagoevgrad,Total,7575.148999999999,2845.549
Veliko Tarnovo,Total,7392.013,3119.755
Haskovo,Total,7329.7119999999995,2941.741
Dobrich,Total,7237.928,3695.062
Stara Zagora,Total,7221.818,2920.64
Pleven,Total,7115.996,3138.902
Vidin,Total,7036.219999999999,3091.0029999999997
Kyustendil,Total,6924.215,3608.566
Yambol,Total,6611.603,3073.498
Kardzhali,Total,6495.651,2955.3160000000003
Burgas,Total,6431.765,2737.611
Gabrovo,Total,6005.679,3725.232
Lovech,Total,5599.4890000000005,3883.8559999999998
Sliven,Total,5213.289000000001,2546.798
Smolyan,Total,5083.573,2797.3230000000003
Montana,Male,9814.696,4604.452
Pernik,Male,9458.132,5596.751
Pazardzhik,Male,9069.441,4419.515
Sofia (stolitsa),Male,8791.377,2365.578
Vratsa,Male,8252.752,5423.272
Blagoevgrad,Male,7978.251,3843.6730000000002
Pleven,Male,7576.026,4243.63
Targovishte,Male,7403.282999999999,3191.643
Veliko Tarnovo,Male,7378.387,3605.631
Sofia,Male,7315.618,4033.142
Razgrad,Male,7290.445,4842.1669999999995
Vidin,Male,7276.928,3852.47
Plovdiv,Male,7009.897,2601.214
Dobrich,Male,6883.271,3718.168
Varna,Male,6852.232,3104.559
Ruse,Male,6734.668,3530.836
Yambol,Male,6552.2519999999995,3351.5640000000003
Stara Zagora,Male,6465.031,3556.957
Haskovo,Male,6238.899,3114.996
Silistra,Male,5899.274,3988.327
Burgas,Male,5108.884,2513.256
Shumen,Male,4970.1630000000005,2813.07
Kardzhali,Male,4286.293,2160.4320000000002
Lovech,Male,3964.003,2270.401
Sliven,Male,3772.524,2340.674
Gabrovo,Male,3760.578,2892.81
Kyustendil,Male,3343.166,1612.008
Smolyan,Male,3312.598,2195.987
Silistra,Female,10519.344,6210.839
Razgrad,Female,9646.49,5151.497
Kyustendil,Female,9447.75,5254.5470000000005
Ruse,Female,8853.383,4060.459
Haskovo,Female,8039.737,4195.831
Shumen,Female,7952.7480000000005,3839.77
Vratsa,Female,7783.71,4264.558
Kardzhali,Female,7541.611,4298.834
Varna,Female,7482.393,3117.145
Sofia,Female,7400.498,3415.007
Stara Zagora,Female,7305.071,3571.298
Plovdiv,Female,7188.792,2614.057
Pazardzhik,Female,6662.141,3154.683
Blagoevgrad,Female,6494.219,3275.996
Vidin,Female,6437.029,3394.064
Dobrich,Female,6409.349,3464.2799999999997
Gabrovo,Female,6385.932000000001,3666.509
Veliko Tarnovo,Female,6293.461,3455.944
Smolyan,Female,6275.114,3366.663
Sofia (stolitsa),Female,6147.286,2022.471
Burgas,Female,5906.039,2887.828
Targovishte,Female,5668.929,3104.707
Sliven,Female,5602.001,3272.926
Yambol,Female,5599.319,3657.386
Pleven,Female,5585.57,3186.723
Pernik,Female,5514.678,3520.345
Montana,Female,5136.452,2870.033
Lovech,Female,3110.8199999999997,2194.584
