Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021,Mean/Expected_Mortality,STANDARD_DEVIATION,Z-Score(95%),Conf_interval,Lower_bound_Mean/Expected_Mortality,Upper_bound_Mean/Expected_Mortality,Excess_mortality,P_Score,P_Score_fluctuation,Mean/Expected_Mortality ±,Excess_mortality ±,P_Score ±
Благоевград,Банско,Female,96.0,111.0,89.0,75.0,93.0,109.0,108.0,92.8,11.6,1.96,10.2,82.6,103.0,16.2,17.5,11.7,92.8 (±10.2),16.2 (±10.2),17.5% (±11.7%)
Благоевград,Банско,Male,104.0,93.0,91.0,89.0,84.0,127.0,109.0,92.2,6.6,1.96,5.8,86.4,98.0,34.8,37.7,8.1,92.2 (±5.8),34.8 (±5.8),37.7% (±8.1%)
Благоевград,Банско,Total,200.0,204.0,180.0,164.0,177.0,236.0,217.0,185.0,14.9,1.96,13.1,171.9,198.1,51.0,27.6,8.5,185.0 (±13.1),51.0 (±13.1),27.6% (±8.5%)
Благоевград,Белица,Female,68.0,48.0,57.0,44.0,52.0,67.0,75.0,53.8,8.3,1.96,7.3,46.5,61.099999999999994,13.2,24.5,14.8,53.8 (±7.3),13.2 (±7.3),24.5% (±14.8%)
Благоевград,Белица,Male,63.0,47.0,71.0,63.0,54.0,75.0,81.0,59.6,8.3,1.96,7.3,52.300000000000004,66.9,15.4,25.8,13.7,59.6 (±7.3),15.4 (±7.3),25.8% (±13.7%)
Благоевград,Белица,Total,131.0,95.0,128.0,107.0,106.0,142.0,156.0,113.4,13.8,1.96,12.1,101.30000000000001,125.5,28.6,25.2,12.1,113.4 (±12.1),28.6 (±12.1),25.2% (±12.1%)
Благоевград,Благоевград,Female,334.0,358.0,416.0,373.0,382.0,502.0,561.0,372.6,27.1,1.96,23.8,348.8,396.40000000000003,129.4,34.7,8.1,372.6 (±23.8),129.4 (±23.8),34.7% (±8.1%)
Благоевград,Благоевград,Male,472.0,461.0,477.0,484.0,473.0,593.0,640.0,473.4,7.5,1.96,6.6,466.79999999999995,480.0,119.6,25.3,1.8,473.4 (±6.6),119.6 (±6.6),25.3% (±1.8%)
Благоевград,Благоевград,Total,806.0,819.0,893.0,857.0,855.0,1095.0,1201.0,846.0,30.8,1.96,27.0,819.0,873.0,249.0,29.4,4.0,846.0 (±27.0),249.0 (±27.0),29.4% (±4.0%)
Благоевград,Гоце Делчев,Female,168.0,163.0,177.0,158.0,187.0,189.0,235.0,170.6,10.3,1.96,9.0,161.6,179.6,18.4,10.8,5.6,170.6 (±9.0),18.4 (±9.0),10.8% (±5.6%)
