Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021,Mean/Expected_Mortality,Mortality,STANDARD_DEVIATION,Z-Score(95%),Conf_interval,Lower_bound_Mean/Expected_Mortality,Upper_bound_Mean/Expected_Mortality,Excess_mortality,P_Score,P_Score_fluctuation,Mean/Expected_Mortality ±,Excess_mortality ±,P_Score ±
Благоевград,Банско,Female,96.0,111.0,89.0,75.0,93.0,109.0,108.0,185.6,217.0,11.6,1.96,10.2,175.4,195.79999999999998,31.4,16.9,6.1,185.6 (±10.2),31.4 (±10.2),16.9% (±6.1%)
Благоевград,Банско,Male,104.0,93.0,91.0,89.0,84.0,127.0,109.0,184.4,236.0,6.6,1.96,5.8,178.6,190.20000000000002,51.6,28.0,3.9,184.4 (±5.8),51.6 (±5.8),28.0% (±3.9%)
Благоевград,Банско,Total,200.0,204.0,180.0,164.0,177.0,236.0,217.0,370.0,453.0,14.9,1.96,13.1,356.9,383.1,83.0,22.4,4.2,370.0 (±13.1),83.0 (±13.1),22.4% (±4.2%)
Благоевград,Белица,Female,68.0,48.0,57.0,44.0,52.0,67.0,75.0,107.6,142.0,8.3,1.96,7.3,100.3,114.89999999999999,34.4,32.0,8.4,107.6 (±7.3),34.4 (±7.3),32.0% (±8.4%)
Благоевград,Белица,Male,63.0,47.0,71.0,63.0,54.0,75.0,81.0,119.2,156.0,8.3,1.96,7.3,111.9,126.5,36.8,30.9,7.6,119.2 (±7.3),36.8 (±7.3),30.9% (±7.6%)
Благоевград,Белица,Total,131.0,95.0,128.0,107.0,106.0,142.0,156.0,226.8,298.0,13.8,1.96,12.1,214.70000000000002,238.9,71.2,31.4,6.7,226.8 (±12.1),71.2 (±12.1),31.4% (±6.7%)
Благоевград,Благоевград,Female,334.0,358.0,416.0,373.0,382.0,502.0,561.0,745.2,1063.0,27.1,1.96,23.8,721.4000000000001,769.0,317.8,42.6,4.4,745.2 (±23.8),317.8 (±23.8),42.6% (±4.4%)
Благоевград,Благоевград,Male,472.0,461.0,477.0,484.0,473.0,593.0,640.0,946.8,1233.0,7.5,1.96,6.6,940.1999999999999,953.4,286.2,30.2,0.9,946.8 (±6.6),286.2 (±6.6),30.2% (±0.9%)
Благоевград,Благоевград,Total,806.0,819.0,893.0,857.0,855.0,1095.0,1201.0,1692.0,2296.0,30.8,1.96,27.0,1665.0,1719.0,604.0,35.7,2.1,1692.0 (±27.0),604.0 (±27.0),35.7% (±2.1%)
Благоевград,Гоце Делчев,Female,168.0,163.0,177.0,158.0,187.0,189.0,235.0,341.2,424.0,10.3,1.96,9.0,332.2,350.2,82.8,24.3,3.2,341.2 (±9.0),82.8 (±9.0),24.3% (±3.2%)
