Location,Sex,Age,Mean/Expected_Mortality,Mortality,Excess_mortality,STANDARD_DEVIATION,Z-Score(95%),SIGNIFICANT,Conf_interval,Lower_bound_Mean/Expected_Mortality,Upper_bound_Mean/Expected_Mortality,P_Score,P_Score_fluctuation,Mean/Expected_Mortality ±,Excess_mortality ±,P_Score ±
Blagoevgrad,Female,(0-4),6.9,1,-5.9,3.8,-1.5,Not Significant,7.5,-0.6,14.4,-85.5,7.6,6.9 (±7.5),-5.9 (±7.5),-85.5% (±7.6%)
Blagoevgrad,Female,(10-14),0.3,2,1.7,1.1,1.5,Not Significant,2.2,-1.9,2.5,566.7,586.7,0.3 (±2.2),1.7 (±2.2),566.7% (±586.7%)
Blagoevgrad,Female,(15-19),-0.2,0,0.2,1.4,0.1,Not Significant,2.8,-3.0,2.6,-100.0,0.0,-0.2 (±2.8),0.2 (±2.8),-100.0% (±0.0%)
Blagoevgrad,Female,(20-24),0.4,1,0.6,1.3,0.5,Not Significant,2.5,-2.1,2.9,150.0,215.5,0.4 (±2.5),0.6 (±2.5),150.0% (±215.5%)
Blagoevgrad,Female,(25-29),3.5,3,-0.5,2.3,-0.2,Not Significant,4.6,-1.1,8.1,-14.3,48.7,3.5 (±4.6),-0.5 (±4.6),-14.3% (±48.7%)
Blagoevgrad,Female,(30-34),4.9,8,3.1,3.4,0.9,Not Significant,6.6,-1.7,11.5,63.3,93.7,4.9 (±6.6),3.1 (±6.6),63.3% (±93.7%)
Blagoevgrad,Female,(35-39),1.5,6,4.5,4.0,1.1,Not Significant,7.8,-6.3,9.3,300.0,335.5,1.5 (±7.8),4.5 (±7.8),300.0% (±335.5%)
Blagoevgrad,Female,(40-44),4.5,13,8.5,4.2,2.0,Significant Increase,8.3,-3.8,12.8,188.9,187.3,4.5 (±8.3),8.5 (±8.3),188.9% (±187.3%)
Blagoevgrad,Female,(45-49),20.2,19,-1.2,6.9,-0.2,Not Significant,13.6,6.6,33.8,-5.9,37.9,20.2 (±13.6),-1.2 (±13.6),-5.9% (±37.9%)
Blagoevgrad,Female,(5-9),0.4,1,0.6,0.9,0.7,Not Significant,1.8,-1.4,2.2,150.0,204.5,0.4 (±1.8),0.6 (±1.8),150.0% (±204.5%)
Blagoevgrad,Female,(50-54),39.7,34,-5.7,8.2,-0.7,Not Significant,16.0,23.7,55.7,-14.4,24.6,39.7 (±16.0),-5.7 (±16.0),-14.4% (±24.6%)
Blagoevgrad,Female,(55-59),55.7,75,19.3,9.7,2.0,Significant Increase,18.9,36.8,74.6,34.6,34.1,55.7 (±18.9),19.3 (±18.9),34.6% (±34.1%)
Blagoevgrad,Female,(60-64),72.0,134,62.0,12.9,4.8,Significant Increase,25.2,46.8,97.2,86.1,48.2,72.0 (±25.2),62.0 (±25.2),86.1% (±48.2%)
Blagoevgrad,Female,(65-69),110.0,157,47.0,15.9,3.0,Significant Increase,31.1,78.9,141.1,42.7,31.4,110.0 (±31.1),47.0 (±31.1),42.7% (±31.4%)
Blagoevgrad,Female,(70-74),160.3,202,41.7,17.0,2.5,Significant Increase,33.3,127.0,193.6,26.0,21.7,160.3 (±33.3),41.7 (±33.3),26.0% (±21.7%)
Blagoevgrad,Female,(75-79),228.4,318,89.6,24.3,3.7,Significant Increase,47.7,180.7,276.1,39.2,24.0,228.4 (±47.7),89.6 (±47.7),39.2% (±24.0%)
Blagoevgrad,Female,(80-84),323.8,367,43.2,26.2,1.6,Not Significant,51.4,272.4,375.2,13.3,15.5,323.8 (±51.4),43.2 (±51.4),13.3% (±15.5%)
Blagoevgrad,Female,(85-89),322.4,402,79.6,23.0,3.5,Significant Increase,45.2,277.2,367.6,24.7,15.3,322.4 (±45.2),79.6 (±45.2),24.7% (±15.3%)
Blagoevgrad,Female,(90+),186.1,214,27.9,19.9,1.4,Not Significant,38.9,147.2,225.0,15.0,19.9,186.1 (±38.9),27.9 (±38.9),15.0% (±19.9%)
Blagoevgrad,Male,(0-4),1.2,5,3.8,3.8,1.0,Not Significant,7.4,-6.2,8.6,316.7,358.6,1.2 (±7.4),3.8 (±7.4),316.7% (±358.6%)
Blagoevgrad,Male,(10-14),2.1,0,-2.1,1.9,-1.1,Not Significant,3.8,-1.7,5.9,-100.0,0.0,2.1 (±3.8),-2.1 (±3.8),-100.0% (±0.0%)
Blagoevgrad,Male,(15-19),1.0,3,2.0,2.7,0.7,Not Significant,5.4,-4.4,6.4,200.0,253.1,1.0 (±5.4),2.0 (±5.4),200.0% (±253.1%)
Blagoevgrad,Male,(20-24),-0.3,5,5.3,3.3,1.6,Not Significant,6.4,-6.7,6.1,-1766.7,-1748.7,-0.3 (±6.4),5.3 (±6.4),-1766.7% (±-1748.7%)
Blagoevgrad,Male,(25-29),5.3,5,-0.3,2.9,-0.1,Not Significant,5.6,-0.3,10.9,-5.7,48.4,5.3 (±5.6),-0.3 (±5.6),-5.7% (±48.4%)
Blagoevgrad,Male,(30-34),7.0,9,2.0,5.1,0.4,Not Significant,10.0,-3.0,17.0,28.6,75.7,7.0 (±10.0),2.0 (±10.0),28.6% (±75.7%)
Blagoevgrad,Male,(35-39),14.2,20,5.8,5.9,1.0,Not Significant,11.6,2.6,25.8,40.8,63.3,14.2 (±11.6),5.8 (±11.6),40.8% (±63.3%)
Blagoevgrad,Male,(40-44),41.8,45,3.2,7.8,0.4,Not Significant,15.3,26.5,57.1,7.7,28.9,41.8 (±15.3),3.2 (±15.3),7.7% (±28.9%)
Blagoevgrad,Male,(45-49),46.3,48,1.7,10.5,0.2,Not Significant,20.5,25.8,66.8,3.7,31.8,46.3 (±20.5),1.7 (±20.5),3.7% (±31.8%)
Blagoevgrad,Male,(5-9),0.4,1,0.6,1.5,0.4,Not Significant,2.8,-2.4,3.2,150.0,218.7,0.4 (±2.8),0.6 (±2.8),150.0% (±218.7%)
Blagoevgrad,Male,(50-54),87.2,99,11.8,13.2,0.9,Not Significant,25.9,61.3,113.1,13.5,26.0,87.2 (±25.9),11.8 (±25.9),13.5% (±26.0%)
Blagoevgrad,Male,(55-59),125.9,175,49.1,15.0,3.3,Significant Increase,29.5,96.4,155.4,39.0,26.4,125.9 (±29.5),49.1 (±29.5),39.0% (±26.4%)
Blagoevgrad,Male,(60-64),166.0,220,54.0,20.6,2.6,Significant Increase,40.5,125.5,206.5,32.5,26.0,166.0 (±40.5),54.0 (±40.5),32.5% (±26.0%)
Blagoevgrad,Male,(65-69),238.3,288,49.7,22.6,2.2,Significant Increase,44.4,193.9,282.7,20.9,19.0,238.3 (±44.4),49.7 (±44.4),20.9% (±19.0%)
Blagoevgrad,Male,(70-74),253.4,320,66.6,22.3,3.0,Significant Increase,43.8,209.6,297.2,26.3,18.6,253.4 (±43.8),66.6 (±43.8),26.3% (±18.6%)
Blagoevgrad,Male,(75-79),249.0,327,78.0,23.4,3.3,Significant Increase,45.9,203.1,294.9,31.3,20.4,249.0 (±45.9),78.0 (±45.9),31.3% (±20.4%)
Blagoevgrad,Male,(80-84),201.0,312,111.0,24.2,4.6,Significant Increase,47.3,153.7,248.3,55.2,29.5,201.0 (±47.3),111.0 (±47.3),55.2% (±29.5%)
Blagoevgrad,Male,(85-89),210.8,261,50.2,19.2,2.6,Significant Increase,37.7,173.1,248.5,23.8,18.8,210.8 (±37.7),50.2 (±37.7),23.8% (±18.8%)
Blagoevgrad,Male,(90+),99.0,107,8.0,13.1,0.6,Not Significant,25.7,73.3,124.7,8.1,22.3,99.0 (±25.7),8.0 (±25.7),8.1% (±22.3%)
Blagoevgrad,Total,(0-4),8.1,6,-2.1,5.6,-0.4,Not Significant,11.0,-2.9,19.1,-25.9,42.7,8.1 (±11.0),-2.1 (±11.0),-25.9% (±42.7%)
Blagoevgrad,Total,(10-14),2.4,2,-0.4,2.3,-0.2,Not Significant,4.4,-2.0,6.8,-16.7,53.9,2.4 (±4.4),-0.4 (±4.4),-16.7% (±53.9%)
Blagoevgrad,Total,(15-19),0.8,3,2.2,3.0,0.7,Not Significant,5.9,-5.1,6.7,275.0,330.2,0.8 (±5.9),2.2 (±5.9),275.0% (±330.2%)
