,Location,Sex,ASYR,ASYR_FLUC
41,Razgrad,Total,15526.329,8298.474
50,Silistra,Total,13875.41,8301.73
29,Pazardzhik,Total,13093.767,5476.234
26,Montana,Total,12820.971000000001,6376.798
2,Blagoevgrad,Total,11986.395,5108.381
38,Plovdiv,Total,11869.837,4431.719
80,Vratsa,Total,11607.745,6402.688
32,Pernik,Total,11530.859,6366.053
59,Sofia,Total,11447.595000000001,5361.589
14,Haskovo,Total,11238.892999999998,5135.0070000000005
44,Ruse,Total,11198.880000000001,5037.654
71,Varna,Total,11193.688,4708.182000000001
20,Kyustendil,Total,11157.237000000001,6411.044
77,Vidin,Total,10840.23,5456.744
65,Stara Zagora,Total,10676.785000000002,4858.82
62,Sofia (stolitsa),Total,10618.224,3000.282
47,Shumen,Total,10568.506,5752.807
68,Targovishte,Total,10190.226999999999,4842.772
8,Dobrich,Total,10173.773,5953.543
74,Veliko Tarnovo,Total,9990.242,5058.439
35,Pleven,Total,9770.973,4910.001
83,Yambol,Total,9510.54,4968.072
11,Gabrovo,Total,8911.357,5410.138
53,Sliven,Total,8808.222000000002,4869.179
5,Burgas,Total,8787.954000000002,4218.248
56,Smolyan,Total,8604.562,4888.152
17,Kardzhali,Total,8488.148,4561.269
23,Lovech,Total,7373.227000000001,5334.447
28,Pazardzhik,Male,15266.991000000002,8131.591
25,Montana,Male,14401.690999999999,7616.215
40,Razgrad,Male,13439.145,9451.739
31,Pernik,Male,12986.846,7802.343000000001
61,Sofia (stolitsa),Male,12914.672,4254.933
1,Blagoevgrad,Male,12549.603000000001,7031.893999999999
58,Sofia,Male,11984.669,7164.157
37,Plovdiv,Male,11707.862000000001,5304.251
76,Vidin,Male,11287.423999999999,6803.892
79,Vratsa,Male,11273.966,7636.46
34,Pleven,Male,10475.784,5931.798000000001
64,Stara Zagora,Male,10433.746,6482.719999999999
70,Varna,Male,10431.063,5549.575000000001
13,Haskovo,Male,10239.706,5965.175
43,Ruse,Male,10212.131,5401.548
67,Targovishte,Male,10164.516,4822.722
7,Dobrich,Male,9959.31,6144.772
73,Veliko Tarnovo,Male,9712.464,5226.357
82,Yambol,Male,9261.054,5154.162
49,Silistra,Male,8059.150000000001,5421.9220000000005
4,Burgas,Male,7434.5419999999995,4299.915
19,Kyustendil,Male,7032.488,3994.771
10,Gabrovo,Male,6625.418,4833.121999999999
46,Shumen,Male,6440.693,3698.139
16,Kardzhali,Male,6288.714,3774.104
52,Sliven,Male,6288.16,4128.626
22,Lovech,Male,5792.531,3745.733
55,Smolyan,Male,5467.303,3697.071
48,Silistra,Female,14326.671999999999,9260.893
39,Razgrad,Female,14107.326,7723.438
42,Ruse,Female,12178.457999999999,6237.32
12,Haskovo,Female,12143.269,7097.255
18,Kyustendil,Female,11704.416000000001,6985.97
69,Varna,Female,11026.795,5428.207
45,Shumen,Female,10964.741,6031.893
54,Smolyan,Female,10936.561,6741.548000000001
27,Pazardzhik,Female,10848.899,5832.04
36,Plovdiv,Female,10828.187,4809.790999999999
0,Blagoevgrad,Female,10712.195,6050.694
78,Vratsa,Female,10237.327000000001,6221.836
57,Sofia,Female,10131.212,5613.412
6,Dobrich,Female,9536.542000000001,6069.983
75,Vidin,Female,9467.425000000001,5857.888
63,Stara Zagora,Female,9351.118999999999,4829.9169999999995
51,Sliven,Female,9135.169,5481.419
15,Kardzhali,Female,8923.535,5654.116
3,Burgas,Female,8920.613,4946.833
9,Gabrovo,Female,8285.796,4713.599
60,Sofia (stolitsa),Female,7627.135,2997.801
72,Veliko Tarnovo,Female,7348.925,4187.476
81,Yambol,Female,7047.287,4578.458
66,Targovishte,Female,6841.653,3971.5209999999997
30,Pernik,Female,6787.0779999999995,4528.115
33,Pleven,Female,6687.232,4086.0550000000003
24,Montana,Female,6427.907,3867.2079999999996
21,Lovech,Female,5156.428,3866.689
