Sex,Location,SIGNIFICANT,Excess_mortality,Conf_interval,WYLL_mean,WYLL_fluctuation,WYLL_average_mean,Population,WYLL_STD_MEAN,WYLL_STD_FLUC,WYLL_mean ±,WYLL_average_mean ±,WYLL_STD_MEAN ±
Female,Blagoevgrad,Significant Increase,89.8,52.4,491.0,0.74,5.47,155463.0,315.8,0.476,491.0 (±0.7),5.47 (±0.74),315.8 (±0.476)
Female,Burgas,Significant Increase,35.3,27.1,264.8,0.0,7.5,211475.0,125.2,0.0,264.8 (±0.0),7.5 (±0.0),125.2 (±0.0)
Female,Dobrich,Significant Increase,54.2,41.9,387.0,0.06,7.14,88431.0,437.6,0.068,387.0 (±0.1),7.14 (±0.06),437.6 (±0.068)
Female,Gabrovo,Significant Increase,21.3,16.6,53.2,0.0,2.5,55300.0,96.2,0.0,53.2 (±0.0),2.5 (±0.0),96.2 (±0.0)
Female,Haskovo,Significant Increase,36.8,31.9,304.0,0.2,8.26,115346.0,263.6,0.173,304.0 (±0.2),8.26 (±0.2),263.6 (±0.173)
Female,Kardzhali,Significant Increase,16.2,16.1,40.5,0.0,2.5,80102.0,50.6,0.0,40.5 (±0.0),2.5 (±0.0),50.6 (±0.0)
Female,Kyustendil,Significant Increase,26.4,18.5,66.0,0.0,2.5,59993.0,110.0,0.0,66.0 (±0.0),2.5 (±0.0),110.0 (±0.0)
Female,Montana,Significant Increase,9.2,8.9,161.0,0.0,17.5,64880.0,248.2,0.0,161.0 (±0.0),17.5 (±0.0),248.2 (±0.0)
Female,Pazardzhik,Significant Increase,31.3,20.8,491.3,0.53,15.7,129061.0,380.7,0.411,491.3 (±0.5),15.7 (±0.53),380.7 (±0.411)
Female,Pernik,Significant Increase,25.2,19.5,63.0,0.0,2.5,61258.0,102.8,0.0,63.0 (±0.0),2.5 (±0.0),102.8 (±0.0)
Female,Plovdiv,Significant Increase,153.8,91.1,1102.4,0.05,7.17,346665.0,318.0,0.014,1102.4 (±0.0),7.17 (±0.05),318.0 (±0.014)
Female,Razgrad,Significant Increase,25.0,17.8,62.5,0.0,2.5,56777.0,110.1,0.0,62.5 (±0.0),2.5 (±0.0),110.1 (±0.0)
Female,Shumen,Significant Increase,40.2,24.2,100.5,0.0,2.5,88340.0,113.8,0.0,100.5 (±0.0),2.5 (±0.0),113.8 (±0.0)
Female,Silistra,Significant Increase,37.7,32.2,432.8,0.07,11.48,55280.0,782.9,0.127,432.8 (±0.1),11.48 (±0.07),782.9 (±0.127)
Female,Sliven,Significant Increase,33.9,22.0,84.8,0.0,2.5,94697.0,89.5,0.0,84.8 (±0.0),2.5 (±0.0),89.5 (±0.0)
Female,Smolyan,Significant Increase,17.7,13.1,132.8,0.0,7.5,53602.0,247.8,0.0,132.8 (±0.0),7.5 (±0.0),247.8 (±0.0)
Female,Sofia,Significant Increase,27.3,23.7,68.2,0.0,2.5,115422.0,59.1,0.0,68.2 (±0.0),2.5 (±0.0),59.1 (±0.0)
Female,Sofia (stolitsa),Significant Increase,47.5,31.3,593.8,0.0,12.5,691325.0,85.9,0.0,593.8 (±0.0),12.5 (±0.0),85.9 (±0.0)
Female,Stara Zagora,Significant Increase,44.9,22.0,336.8,0.0,7.5,161785.0,208.2,0.0,336.8 (±0.0),7.5 (±0.0),208.2 (±0.0)
Female,Targovishte,Significant Increase,3.7,3.2,138.8,0.0,37.51,56750.0,244.6,0.0,138.8 (±0.0),37.51 (±0.0),244.6 (±0.0)
Female,Varna,Significant Increase,77.30000000000001,55.099999999999994,974.8,1.04,12.61,241173.0,404.2,0.431,974.8 (±1.0),12.61 (±1.04),404.2 (±0.431)
Male,Blagoevgrad,Significant Increase,103.1,70.0,503.2,0.11,4.88,147231.0,341.8,0.075,503.2 (±0.1),4.88 (±0.11),341.8 (±0.075)
Male,Burgas,Significant Increase,71.6,58.3,509.0,0.34,7.11,197790.0,257.3,0.172,509.0 (±0.3),7.11 (±0.34),257.3 (±0.172)
Male,Dobrich,Significant Increase,19.4,19.2,339.5,0.0,17.5,83378.0,407.2,0.0,339.5 (±0.0),17.5 (±0.0),407.2 (±0.0)
Male,Gabrovo,Significant Increase,39.0,24.6,97.5,0.0,2.5,51298.0,190.1,0.0,97.5 (±0.0),2.5 (±0.0),190.1 (±0.0)
Male,Haskovo,Significant Increase,56.400000000000006,50.8,414.0,0.23,7.34,109971.0,376.5,0.209,414.0 (±0.2),7.34 (±0.23),376.5 (±0.209)
Male,Kyustendil,Significant Increase,29.5,22.9,221.2,0.0,7.5,56922.0,388.6,0.0,221.2 (±0.0),7.5 (±0.0),388.6 (±0.0)
Male,Lovech,Significant Increase,34.0,28.6,562.0,0.19,16.53,59658.0,942.0,0.318,562.0 (±0.2),16.53 (±0.19),942.0 (±0.318)
Male,Montana,Significant Increase,19.8,18.0,247.5,0.0,12.5,62121.0,398.4,0.0,247.5 (±0.0),12.5 (±0.0),398.4 (±0.0)
Male,Pazardzhik,Significant Increase,157.7,104.9,1614.7,0.65,10.24,123715.0,1305.2,0.525,1614.7 (±0.6),10.24 (±0.65),1305.2 (±0.525)
Male,Pernik,Significant Increase,12.0,11.3,270.0,0.0,22.5,57932.0,466.1,0.0,270.0 (±0.0),22.5 (±0.0),466.1 (±0.0)
Male,Plovdiv,Significant Increase,189.4,127.1,1315.9,0.47,6.95,320136.0,411.0,0.147,1315.9 (±0.5),6.95 (±0.47),411.0 (±0.147)
Male,Razgrad,Significant Increase,42.2,37.400000000000006,411.0,0.03,9.74,54012.0,760.9,0.056,411.0 (±0.0),9.74 (±0.03),760.9 (±0.056)
Male,Ruse,Significant Increase,35.2,16.8,616.0,0.0,17.5,105026.0,586.5,0.0,616.0 (±0.0),17.5 (±0.0),586.5 (±0.0)
Male,Sliven,Significant Increase,29.3,23.8,219.8,0.0,7.5,89422.0,245.8,0.0,219.8 (±0.0),7.5 (±0.0),245.8 (±0.0)
Male,Sofia,Significant Increase,118.6,87.4,863.1,0.05,7.28,111249.0,775.8,0.045,863.1 (±0.0),7.28 (±0.05),775.8 (±0.045)
Male,Sofia (stolitsa),Significant Increase,321.9,176.1,2239.2,0.07,6.96,637465.0,351.3,0.011,2239.2 (±0.1),6.96 (±0.07),351.3 (±0.011)
Male,Stara Zagora,Significant Increase,85.9,75.6,406.8,0.06,4.74,151611.0,268.3,0.04,406.8 (±0.1),4.74 (±0.06),268.3 (±0.04)
Male,Varna,Significant Increase,60.8,57.400000000000006,748.6,0.09,12.31,228712.0,327.3,0.039,748.6 (±0.1),12.31 (±0.09),327.3 (±0.039)
Male,Veliko Tarnovo,Significant Increase,46.6,36.3,116.5,0.0,2.5,112401.0,103.6,0.0,116.5 (±0.0),2.5 (±0.0),103.6 (±0.0)
Male,Vratsa,Significant Increase,54.9,31.3,137.2,0.0,2.5,78234.0,175.4,0.0,137.2 (±0.0),2.5 (±0.0),175.4 (±0.0)
Male,Yambol,Significant Increase,6.8,3.9,289.0,0.0,42.5,57408.0,503.4,0.0,289.0 (±0.0),42.5 (±0.0),503.4 (±0.0)
Total,Blagoevgrad,Significant Increase,184.4,86.6,803.0,0.1,4.35,302694.0,265.3,0.033,803.0 (±0.1),4.35 (±0.1),265.3 (±0.033)
Total,Burgas,Significant Increase,60.4,57.1,151.0,0.0,2.5,409265.0,36.9,0.0,151.0 (±0.0),2.5 (±0.0),36.9 (±0.0)
Total,Dobrich,Significant Increase,100.8,92.5,770.9,0.04,7.65,171809.0,448.7,0.023,770.9 (±0.0),7.65 (±0.04),448.7 (±0.023)
Total,Gabrovo,Significant Increase,60.3,29.5,150.8,0.0,2.5,106598.0,141.5,0.0,150.8 (±0.0),2.5 (±0.0),141.5 (±0.0)
Total,Haskovo,Significant Increase,64.4,40.2,161.0,0.0,2.5,225317.0,71.5,0.0,161.0 (±0.0),2.5 (±0.0),71.5 (±0.0)
Total,Kyustendil,Significant Increase,41.4,26.4,310.5,0.0,7.5,116915.0,265.6,0.0,310.5 (±0.0),7.5 (±0.0),265.6 (±0.0)
Total,Lovech,Significant Increase,40.6,33.2,663.5,0.09,16.34,122546.0,541.4,0.073,663.5 (±0.1),16.34 (±0.09),541.4 (±0.073)
Total,Montana,Significant Increase,50.4,37.6,126.0,0.0,2.5,127001.0,99.2,0.0,126.0 (±0.0),2.5 (±0.0),99.2 (±0.0)
