Location,Sex,ASYR,ASYR_FLUC
Razgrad,Total,5247.2,2976.2309999999998
Pazardzhik,Total,4980.108,2400.369
Blagoevgrad,Total,3578.17,1685.71
Plovdiv,Total,3498.606,1452.305
Montana,Total,3459.698,2073.274
Silistra,Total,3374.047,2383.389
Vidin,Total,3190.806,1849.347
Vratsa,Total,3093.146,2228.7780000000002
Kyustendil,Total,2937.553,1793.333
Gabrovo,Total,2905.678,1684.906
Sofia,Total,2905.612,1657.558
Sliven,Total,2904.8889999999997,1916.63
Smolyan,Total,2859.446,1760.014
Pernik,Total,2821.7000000000003,1970.6019999999999
Haskovo,Total,2758.38,1427.273
Sofia (stolitsa),Total,2654.685,1096.55
Varna,Total,2620.795,1457.555
Ruse,Total,2602.478,1243.7640000000001
Targovishte,Total,2525.571,1631.864
Dobrich,Total,2408.321,1976.587
Stara Zagora,Total,2407.8160000000003,1328.563
Shumen,Total,2406.047,1633.603
Yambol,Total,2066.428,1228.6779999999999
Veliko Tarnovo,Total,1819.344,1380.414
Pleven,Total,1741.138,1094.233
Kardzhali,Total,1602.0720000000001,1271.039
Burgas,Total,1336.502,861.414
Lovech,Total,1320.3229999999999,1064.0929999999998
Pazardzhik,Male,5739.613,3301.749
Razgrad,Male,4831.746,3445.272
Montana,Male,4125.567,2677.3469999999998
Sofia,Male,4094.897,2823.7889999999998
Plovdiv,Male,3687.412,1967.591
Sofia (stolitsa),Male,3608.123,1558.702
Blagoevgrad,Male,3567.9120000000003,2344.901
Pernik,Male,3528.714,2205.592
Vidin,Male,3114.401,2207.671
Ruse,Male,3072.982,1588.105
Gabrovo,Male,2864.84,1940.312
Kyustendil,Male,2821.565,1895.883
Haskovo,Male,2795.285,2003.487
Stara Zagora,Male,2626.444,1834.012
Varna,Male,2540.4,1813.39
Targovishte,Male,2517.488,1422.444
Vratsa,Male,2456.022,1700.832
Veliko Tarnovo,Male,2135.685,1470.872
Dobrich,Male,1833.002,1456.4180000000001
Lovech,Male,1828.528,1475.3319999999999
Sliven,Male,1776.353,1285.9769999999999
Smolyan,Male,1681.701,1039.128
Burgas,Male,1672.369,1360.102
Yambol,Male,1666.624,950.9449999999999
Pleven,Male,1549.291,740.903
Kardzhali,Male,1497.437,1190.835
Silistra,Male,1481.335,906.359
Shumen,Male,1470.53,885.069
Razgrad,Female,3895.943,2087.473
Pazardzhik,Female,3499.968,2016.007
Smolyan,Female,3437.1859999999997,2547.443
Blagoevgrad,Female,3399.114,2144.781
Silistra,Female,3303.121,2594.675
Plovdiv,Female,3163.695,1801.906
Haskovo,Female,3155.338,2059.526
Sliven,Female,3126.018,1864.693
Shumen,Female,3011.993,2192.123
Varna,Female,2761.707,1803.357
Dobrich,Female,2690.457,2218.563
Kyustendil,Female,2256.666,1731.4229999999998
Vidin,Female,2227.576,1773.062
Sofia,Female,2061.159,1556.643
Ruse,Female,1950.202,992.462
Gabrovo,Female,1899.864,1047.09
Burgas,Female,1868.5939999999998,1229.089
Yambol,Female,1447.9679999999998,921.0720000000001
Vratsa,Female,1313.4660000000001,1037.393
Montana,Female,1291.455,997.175
Pernik,Female,1272.4,1007.77
Sofia (stolitsa),Female,1259.1570000000002,797.097
Stara Zagora,Female,1248.221,663.609
Targovishte,Female,1172.724,866.8140000000001
Lovech,Female,854.059,832.315
Kardzhali,Female,846.592,844.2909999999999
