Sex,Age,Location,2017,2018,2019,avg_mortality
Female,(0-4),Blagoevgrad,5.0,10.0,6.0,7.0
Female,(0-4),Burgas,14.0,15.0,4.0,11.0
Female,(0-4),Dobrich,8.0,5.0,6.0,6.33
Female,(0-4),Gabrovo,4.0,3.0,1.0,2.67
Female,(0-4),Haskovo,5.0,7.0,7.0,6.33
Female,(0-4),Kardzhali,6.0,2.0,5.0,4.33
Female,(0-4),Kyustendil,4.0,0.0,3.0,2.33
Female,(0-4),Lovech,3.0,4.0,1.0,2.67
Female,(0-4),Montana,5.0,4.0,2.0,3.67
Female,(0-4),Pazardzhik,13.0,10.0,14.0,12.33
Female,(0-4),Pernik,1.0,5.0,4.0,3.33
Female,(0-4),Pleven,8.0,11.0,9.0,9.33
Female,(0-4),Plovdiv,24.0,25.0,16.0,21.67
Female,(0-4),Razgrad,1.0,3.0,4.0,2.67
Female,(0-4),Ruse,6.0,4.0,6.0,5.33
Female,(0-4),Shumen,5.0,3.0,3.0,3.67
Female,(0-4),Silistra,1.0,1.0,2.0,1.33
Female,(0-4),Sliven,10.0,15.0,21.0,15.33
Female,(0-4),Smolyan,2.0,0.0,0.0,0.67
Female,(0-4),Sofia,11.0,6.0,7.0,8.0
Female,(0-4),Sofia (stolitsa),23.0,22.0,14.0,19.67
Female,(0-4),Stara Zagora,17.0,10.0,18.0,15.0
Female,(0-4),Targovishte,4.0,2.0,4.0,3.33
Female,(0-4),Varna,18.0,17.0,16.0,17.0
Female,(0-4),Veliko Tarnovo,8.0,5.0,8.0,7.0
Female,(0-4),Vidin,1.0,2.0,4.0,2.33
Female,(0-4),Vratsa,7.0,7.0,5.0,6.33
Female,(0-4),Yambol,4.0,7.0,4.0,5.0
Female,(10-14),Blagoevgrad,0.0,0.0,1.0,0.33
Female,(10-14),Burgas,3.0,0.0,2.0,1.67
Female,(10-14),Dobrich,0.0,0.0,0.0,0.0
Female,(10-14),Gabrovo,0.0,0.0,0.0,0.0
Female,(10-14),Haskovo,0.0,1.0,0.0,0.33
Female,(10-14),Kardzhali,0.0,0.0,0.0,0.0
Female,(10-14),Kyustendil,1.0,0.0,0.0,0.33
Female,(10-14),Lovech,0.0,0.0,0.0,0.0
Female,(10-14),Montana,0.0,0.0,0.0,0.0
Female,(10-14),Pazardzhik,4.0,1.0,1.0,2.0
Female,(10-14),Pernik,1.0,0.0,1.0,0.67
Female,(10-14),Pleven,2.0,1.0,3.0,2.0
Female,(10-14),Plovdiv,1.0,2.0,2.0,1.67
Female,(10-14),Razgrad,0.0,0.0,0.0,0.0
Female,(10-14),Ruse,0.0,2.0,2.0,1.33
Female,(10-14),Shumen,0.0,1.0,2.0,1.0
Female,(10-14),Silistra,0.0,0.0,0.0,0.0
Female,(10-14),Sliven,1.0,0.0,1.0,0.67
Female,(10-14),Smolyan,0.0,0.0,1.0,0.33
Female,(10-14),Sofia,2.0,3.0,2.0,2.33
Female,(10-14),Sofia (stolitsa),4.0,1.0,6.0,3.67
Female,(10-14),Stara Zagora,0.0,2.0,0.0,0.67
Female,(10-14),Targovishte,0.0,0.0,1.0,0.33
Female,(10-14),Varna,0.0,2.0,1.0,1.0
Female,(10-14),Veliko Tarnovo,0.0,1.0,0.0,0.33
Female,(10-14),Vidin,0.0,0.0,0.0,0.0
Female,(10-14),Vratsa,0.0,3.0,3.0,2.0
Female,(10-14),Yambol,1.0,0.0,0.0,0.33
Female,(15-19),Blagoevgrad,2.0,0.0,2.0,1.33
Female,(15-19),Burgas,2.0,7.0,3.0,4.0
Female,(15-19),Dobrich,0.0,2.0,0.0,0.67
Female,(15-19),Gabrovo,2.0,0.0,0.0,0.67
Female,(15-19),Haskovo,0.0,4.0,4.0,2.67
Female,(15-19),Kardzhali,1.0,0.0,1.0,0.67
Female,(15-19),Kyustendil,1.0,0.0,1.0,0.67
Female,(15-19),Lovech,1.0,1.0,2.0,1.33
Female,(15-19),Montana,1.0,3.0,1.0,1.67
Female,(15-19),Pazardzhik,1.0,1.0,3.0,1.67
Female,(15-19),Pernik,2.0,0.0,0.0,0.67
Female,(15-19),Pleven,1.0,1.0,0.0,0.67
Female,(15-19),Plovdiv,4.0,6.0,5.0,5.0
Female,(15-19),Razgrad,0.0,1.0,1.0,0.67
Female,(15-19),Ruse,1.0,0.0,0.0,0.33
Female,(15-19),Shumen,1.0,2.0,0.0,1.0
Female,(15-19),Silistra,1.0,1.0,4.0,2.0
Female,(15-19),Sliven,0.0,4.0,4.0,2.67
Female,(15-19),Smolyan,1.0,0.0,0.0,0.33
Female,(15-19),Sofia,1.0,1.0,1.0,1.0
Female,(15-19),Sofia (stolitsa),9.0,6.0,3.0,6.0
Female,(15-19),Stara Zagora,3.0,3.0,2.0,2.67
Female,(15-19),Targovishte,1.0,2.0,0.0,1.0
Female,(15-19),Varna,1.0,0.0,3.0,1.33
Female,(15-19),Veliko Tarnovo,0.0,0.0,3.0,1.0
Female,(15-19),Vidin,0.0,0.0,0.0,0.0
Female,(15-19),Vratsa,1.0,1.0,0.0,0.67
Female,(15-19),Yambol,2.0,2.0,0.0,1.33
Female,(20-24),Blagoevgrad,2.0,2.0,0.0,1.33
Female,(20-24),Burgas,4.0,1.0,0.0,1.67
Female,(20-24),Dobrich,2.0,1.0,0.0,1.0
Female,(20-24),Gabrovo,0.0,0.0,1.0,0.33
Female,(20-24),Haskovo,2.0,1.0,1.0,1.33
Female,(20-24),Kardzhali,2.0,2.0,1.0,1.67
Female,(20-24),Kyustendil,0.0,0.0,0.0,0.0
Female,(20-24),Lovech,2.0,0.0,2.0,1.33
Female,(20-24),Montana,1.0,2.0,1.0,1.33
Female,(20-24),Pazardzhik,4.0,2.0,1.0,2.33
Female,(20-24),Pernik,0.0,1.0,3.0,1.33
Female,(20-24),Pleven,2.0,2.0,1.0,1.67
Female,(20-24),Plovdiv,3.0,8.0,2.0,4.33
Female,(20-24),Razgrad,4.0,3.0,0.0,2.33
Female,(20-24),Ruse,1.0,1.0,5.0,2.33
Female,(20-24),Shumen,1.0,3.0,3.0,2.33
Female,(20-24),Silistra,1.0,1.0,1.0,1.0
Female,(20-24),Sliven,2.0,1.0,4.0,2.33
Female,(20-24),Smolyan,0.0,0.0,0.0,0.0
Female,(20-24),Sofia,0.0,1.0,0.0,0.33
Female,(20-24),Sofia (stolitsa),10.0,10.0,13.0,11.0
Female,(20-24),Stara Zagora,3.0,4.0,3.0,3.33
Female,(20-24),Targovishte,0.0,1.0,1.0,0.67
Female,(20-24),Varna,6.0,4.0,2.0,4.0
Female,(20-24),Veliko Tarnovo,2.0,3.0,0.0,1.67
Female,(20-24),Vidin,2.0,0.0,1.0,1.0
Female,(20-24),Vratsa,1.0,3.0,1.0,1.67
Female,(20-24),Yambol,0.0,1.0,3.0,1.33
Female,(25-29),Blagoevgrad,2.0,5.0,3.0,3.33
Female,(25-29),Burgas,8.0,2.0,7.0,5.67
Female,(25-29),Dobrich,2.0,2.0,1.0,1.67
Female,(25-29),Gabrovo,4.0,1.0,0.0,1.67
