"NUTS_CODE","NUTS_NAME_BG","NUTS_NAME_LAT","NUTS_LEVEL"
"BG","БЪЛГАРИЯ","BULGARIA","0"
"BG3","СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ","SEVERNA I YUGOIZTOCHNA BULGARIA","1"
"BG31","Северозападен","Severozapaden","2"
"BG311","Видин","Vidin","3"
"BG312","Монтана","Montana","3"
"BG313","Враца","Vratsa","3"
"BG314","Плевен","Pleven","3"
"BG315","Ловеч","Lovech","3"
"BG32","Северен централен","Severen tsentralen","2"
"BG321","Велико Търново","Veliko Tarnovo","3"
"BG322","Габрово","Gabrovo","3"
"BG323","Русе","Ruse","3"
"BG324","Разград","Razgrad","3"
"BG325","Силистра","Silistra","3"
"BG33","Североизточен","Severoiztochen","2"
"BG331","Варна","Varna","3"
"BG332","Добрич","Dobrich","3"
"BG333","Шумен","Shumen","3"
"BG334","Търговище","Targovishte","3"
"BG34","Югоизточен","Yugoiztochen","2"
"BG341","Бургас","Burgas","3"
"BG342","Сливен","Sliven","3"
"BG343","Ямбол","Yambol","3"
"BG344","Стара Загора","Stara Zagora","3"
"BG4","ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ","YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA","1"
"BG41","Югозападен","Yugozapaden","2"
"BG411","София (столица)","Sofia (stolitsa)","3"
"BG412","София","Sofia","3"
"BG413","Благоевград","Blagoevgrad","3"
"BG414","Перник","Pernik","3"
"BG415","Кюстендил","Kyustendil","3"
"BG42","Южен централен","Yuzhen tsentralen","2"
"BG421","Пловдив","Plovdiv","3"
"BG422","Хасково","Haskovo","3"
"BG423","Пазарджик","Pazardzhik","3"
"BG424","Смолян","Smolyan","3"
"BG425","Кърджали","Kardzhali","3"
"BGZ","EXTRA-REGIO NUTS 1","EXTRA-REGIO NUTS 1","1"
"BGZZ","Extra-Regio NUTS 2","Extra-Regio NUTS 2","2"
"BGZZZ","Extra-Regio NUTS 3","Extra-Regio NUTS 3","3"
