Year,Location,Age,Total,Male,Female
2017,Благоевград,Общо,307882,150007,157875
2017,Благоевград,0,2710,1386,1324
2017,Благоевград,1 - 4,11490,5834,5656
2017,Благоевград,5 - 9,15559,7959,7600
2017,Благоевград,10 - 14,15054,7710,7344
2017,Благоевград,15 - 19,13832,7166,6666
2017,Благоевград,20 - 24,13032,6729,6303
2017,Благоевград,25 - 29,21518,10569,10949
2017,Благоевград,30 - 34,21934,11267,10667
2017,Благоевград,35 - 39,21740,11288,10452
2017,Благоевград,40 - 44,22761,11675,11086
2017,Благоевград,45 - 49,22915,11501,11414
2017,Благоевград,50 - 54,22643,11209,11434
2017,Благоевград,55 - 59,23082,11246,11836
2017,Благоевград,60 - 64,21634,10341,11293
2017,Благоевград,65 - 69,19057,8677,10380
2017,Благоевград,70 - 74,14814,6322,8492
2017,Благоевград,75 - 79,11293,4454,6839
2017,Благоевград,80 - 84,8069,2984,5085
2017,Благоевград,85 - 89,3623,1331,2292
2017,Благоевград,90 - 94,977,320,657
2017,Благоевград,95 - 99,133,37,96
2017,Благоевград,100+,12,2,10
2017,Бургас,Общо,411579,199519,212060
2017,Бургас,0,3922,2006,1916
2017,Бургас,1 - 4,16394,8294,8100
2017,Бургас,5 - 9,22352,11420,10932
2017,Бургас,10 - 14,21305,10994,10311
2017,Бургас,15 - 19,18881,9612,9269
2017,Бургас,20 - 24,17783,9017,8766
2017,Бургас,25 - 29,24302,12296,12006
2017,Бургас,30 - 34,28704,14615,14089
2017,Бургас,35 - 39,31006,16048,14958
2017,Бургас,40 - 44,34415,17672,16743
2017,Бургас,45 - 49,30913,15768,15145
2017,Бургас,50 - 54,26469,13122,13347
2017,Бургас,55 - 59,28193,13555,14638
2017,Бургас,60 - 64,28492,13202,15290
2017,Бургас,65 - 69,27463,12162,15301
2017,Бургас,70 - 74,19902,8346,11556
2017,Бургас,75 - 79,14226,5440,8786
2017,Бургас,80 - 84,10306,3687,6619
2017,Бургас,85 - 89,4956,1766,3190
2017,Бургас,90 - 94,1428,443,985
2017,Бургас,95 - 99,158,51,107
2017,Бургас,100+,9,3,6
2017,Варна,Общо,472120,230301,241819
2017,Варна,0,4437,2341,2096
2017,Варна,1 - 4,18389,9470,8919
2017,Варна,5 - 9,25374,13077,12297
2017,Варна,10 - 14,23301,11983,11318
2017,Варна,15 - 19,21275,10896,10379
2017,Варна,20 - 24,22036,11632,10404
2017,Варна,25 - 29,31989,16327,15662
2017,Варна,30 - 34,35757,17953,17804
2017,Варна,35 - 39,37049,19007,18042
2017,Варна,40 - 44,41018,21072,19946
2017,Варна,45 - 49,35384,18254,17130
2017,Варна,50 - 54,29060,14529,14531
2017,Варна,55 - 59,29286,14267,15019
2017,Варна,60 - 64,30133,13884,16249
2017,Варна,65 - 69,29092,12806,16286
2017,Варна,70 - 74,23504,9862,13642
2017,Варна,75 - 79,15929,6362,9567
2017,Варна,80 - 84,11388,3973,7415
2017,Варна,85 - 89,5884,2035,3849
2017,Варна,90 - 94,1596,497,1099
2017,Варна,95 - 99,227,71,156
2017,Варна,100+,12,3,9
2017,Велико Търново,Общо,239132,115655,123477
2017,Велико Търново,0,1990,1002,988
2017,Велико Търново,1 - 4,8109,4194,3915
2017,Велико Търново,5 - 9,10411,5334,5077
2017,Велико Търново,10 - 14,9888,5103,4785
2017,Велико Търново,15 - 19,10234,5185,5049
2017,Велико Търново,20 - 24,11624,5907,5717
2017,Велико Търново,25 - 29,19343,9743,9600
2017,Велико Търново,30 - 34,15082,7916,7166
2017,Велико Търново,35 - 39,14937,7712,7225
2017,Велико Търново,40 - 44,17016,8796,8220
2017,Велико Търново,45 - 49,16245,8296,7949
2017,Велико Търново,50 - 54,14998,7564,7434
2017,Велико Търново,55 - 59,16314,7996,8318
